"DisplayName","DisplayVersion","Publisher","InstallDate"
"Windows 驱动程序包 - Adafruit Industries LLC (usbser) Ports  (02/25/2016 6.2.2600.0)","02/25/2016 6.2.2600.0","Adafruit Industries LLC",
"Windows 驱动程序包 - Arduino LLC (www.arduino.cc) Arduino USB Driver (11/24/2015 1.2.3.0)","11/24/2015 1.2.3.0","Arduino LLC (www.arduino.cc)",
"Windows 驱动程序包 - Arduino LLC (www.arduino.cc) Genuino USB Driver (01/07/2016 1.0.3.0)","01/07/2016 1.0.3.0","Arduino LLC (www.arduino.cc)",
"Windows 驱动程序包 - DFRobot Co.Ltd (www.dfrobot.com) DFRobot USB Driver (11/24/2015 1.2.3.0)","11/24/2015 1.2.3.0","DFRobot Co.Ltd (www.dfrobot.com)",
"Windows 驱动程序包 - FTDI CDM Driver Package - VCP Driver (03/18/2011 2.08.14)","03/18/2011 2.08.14","FTDI",
"Windows 驱动程序包 - libusb-win32 (libusb0) libusb-win32 devices  (04/21/2015 1.0.0.0)","04/21/2015 1.0.0.0","libusb-win32",
"Windows 驱动程序包 - mbed (mbedSerial_x64) Ports  (08/24/2009 2.0.2.0)","08/24/2009 2.0.2.0","mbed",
"Windows 驱动程序包 - mbed (mbedSerial) Ports  (08/24/2009 2.0.2.0)","08/24/2009 2.0.2.0","mbed",
"Windows 驱动程序包 - Silicon Laboratories Inc. (silabser) Ports  (05/23/2018 6.7.6.2130)","05/23/2018 6.7.6.2130","Silicon Laboratories Inc.",
"Windows 驱动程序包 - Silicon Laboratories Inc. Ports  (04/13/2023 11.3.0.176)","04/13/2023 11.3.0.176","Silicon Laboratories Inc.",
"Windows 驱动程序包 - wch.cn (CH341SER_A64) Ports  (01/30/2019 3.5.2019.1)","01/30/2019 3.5.2019.1","wch.cn",
"Windows 驱动程序包 - wch.cn (CH343SER_A64) Ports  (02/11/2023 1.7.2023.02)","02/11/2023 1.7.2023.02","wch.cn",
"Windows 驱动程序包 - wch.cn (CH343SER_A64) Ports  (04/08/2021 1.4.2021.4)","04/08/2021 1.4.2021.4","wch.cn",
"WPT Redistributables","10.1.26100.7705","Microsoft","20260220"
"WPTx64 (DesktopEditions)","10.1.26100.7705","Microsoft","20260220"
"WPTx64 (OnecoreUAP)","10.1.26100.7705","Microsoft","20260220"
"Yuanbao","2.56.0.621","Tencent Technology (Shenzhen) Co. Ltd.",
"哔哩哔哩","1.17.5","哔哩哔哩",
"天问Block 版本 2025 夏季正式版 SP1","2025 夏季正式版 SP1","杭州天问五幺科技有限公司","20251216"
"夸克","6.4.5.737","广州市动悦信息技术有限公司",
"微信","4.1.7.30","腾讯科技(深圳)有限公司",
"百度网盘","8.2.5","北京度友科技有限公司",
"网易云音乐","3.1.28.205001","网易公司",
"网易有道翻译","11.2.16.0","网易公司",
"腾讯会议","3.41.10.435","腾讯科技(深圳)有限公司",
